交易编号,类型,日期和时间,信号,价格 CNY,大小（数量）,大小（价值）,净损益 CNY,回报 %,手续费 CNY,有利波动 CNY,有利波动 %,不利波动 CNY,不利波动 %,累计损益 CNY,累计损益 %,持续时间（K线）
1,多头出场,2026-02-10 11:00,离场信号,1.678,1266117,1999198.743,123696.09,6.18,1649.5,137207.08,6.86,-32452.6,-1.62,123696.09,6.18,24
1,多头进场,2026-02-05 15:00,进场,1.579,1266117,1999198.743,123696.09,6.18,1649.5,137207.08,6.86,-32452.6,-1.62,123696.09,6.18,24
2,多头出场,2026-02-26 13:30,止损,1.56,1306367,2122846.375,-86578.16,-4.08,1664.31,0,0.00,-85762.99,-4.04,37117.92,1.86,24
2,多头进场,2026-02-24 09:30,进场,1.625,1306367,2122846.375,-86578.16,-4.08,1664.31,0,0.00,-85762.99,-4.04,37117.92,1.86,24
3,多头出场,2026-03-02 10:00,止损,1.487,1314592,2036303.008,-83101.14,-4.08,1596.44,0,0.00,-82319.23,-4.04,-45983.23,-2.30,3
3,多头进场,2026-02-27 14:30,进场,1.549,1314592,2036303.008,-83101.14,-4.08,1596.44,0,0.00,-82319.23,-4.04,-45983.23,-2.30,3
4,多头出场,2026-03-13 13:00,离场信号,1.476,1388227,1953235.389,94186.76,4.82,1600.9,203288.08,10.40,-781.29,-0.04,48203.54,2.41,65
4,多头进场,2026-03-04 14:30,进场,1.407,1388227,1953235.389,94186.76,4.82,1600.9,203288.08,10.40,-781.29,-0.04,48203.54,2.41,65
5,多头出场,2026-03-19 15:00,离场信号,1.502,1367658,2047384.026,5197.65,0.25,1640.64,92181.79,4.50,-22701.48,-1.11,53401.18,2.67,37
5,多头进场,2026-03-16 10:00,进场,1.497,1367658,2047384.026,5197.65,0.25,1640.64,92181.79,4.50,-22701.48,-1.11,53401.18,2.67,37
6,多头出场,2026-04-01 11:00,离场信号,1.654,1419488,2052579.648,293493.34,14.29,1760.17,298690.94,14.55,-22113.35,-1.08,346894.53,17.34,61
6,多头进场,2026-03-24 10:00,进场,1.446,1419488,2052579.648,293493.34,14.29,1760.17,298690.94,14.55,-22113.35,-1.08,346894.53,17.34,61
7,多头出场,2026-04-15 15:00,离场信号,1.704,1407292,2345955.764,50172.21,2.14,1897.59,55353.3,2.36,-83968.61,-3.58,397066.72,19.85,48
7,多头进场,2026-04-08 15:00,进场,1.667,1407292,2345955.764,50172.21,2.14,1897.59,55353.3,2.36,-83968.61,-3.58,397066.72,19.85,48
8,多头出场,2026-05-06 09:30,止损,1.528,1505093,2396108.056,-98204.3,-4.10,1878.36,35163.79,1.47,-97284.4,-4.06,298862.44,14.94,45
8,多头进场,2026-04-24 11:00,进场,1.592,1505093,2396108.056,-98204.3,-4.10,1878.36,35163.79,1.47,-97284.4,-4.06,298862.44,14.94,45
9,多头出场,2026-05-13 13:00,离场信号,1.513,1492170,2297941.8,-42110.83,-1.83,1822.24,61751.97,2.69,-42699.94,-1.86,256751.6,12.84,47
9,多头进场,2026-05-06 14:30,进场,1.54,1492170,2297941.8,-42110.83,-1.83,1822.24,61751.97,2.69,-42699.94,-1.86,256751.6,12.84,47
10,多头出场,2026-05-28 10:00,止损,1.347,1606730,2255848.92,-93351.66,-4.14,1768.05,55333.21,2.45,-92485.95,-4.10,163399.94,8.17,70
10,多头进场,2026-05-19 09:30,进场,1.404,1606730,2255848.92,-93351.66,-4.14,1768.05,55333.21,2.45,-92485.95,-4.10,163399.94,8.17,70
11,多头出场,2026-06-03 09:30,止损,1.305,1590099,2162534.64,-89150.49,-4.12,1695.05,121572.61,5.62,-88320.46,-4.08,74249.45,3.71,27
11,多头进场,2026-05-29 11:00,进场,1.36,1590099,2162534.64,-89150.49,-4.12,1695.05,121572.61,5.62,-88320.46,-4.08,74249.45,3.71,27
12,多头出场,2026-06-08 13:30,止损,1.205,1650812,2073419.872,-85816.47,-4.14,1625.06,66853.92,3.22,-85020.78,-4.10,-11567.02,-0.58,19
12,多头进场,2026-06-04 14:00,进场,1.256,1650812,2073419.872,-85816.47,-4.14,1625.06,66853.92,3.22,-85020.78,-4.10,-11567.02,-0.58,19
13,多头出场,2026-06-22 11:00,离场信号,1.185,1631886,1987637.148,-55420.81,-2.79,1568.57,102013.77,5.13,-72598.04,-3.65,-66987.83,-3.35,82
13,多头进场,2026-06-09 10:00,进场,1.218,1631886,1987637.148,-55420.81,-2.79,1568.57,102013.77,5.13,-72598.04,-3.65,-66987.83,-3.35,82
14,多头出场,2026-07-03 11:00,离场信号,1.39,1598212,1932238.308,287614.88,14.88,1661.5,314074.88,16.25,-21549.65,-1.11,220627.05,11.03,83
14,多头进场,2026-06-22 14:30,进场,1.209,1598212,1932238.308,287614.88,14.88,1661.5,314074.88,16.25,-21549.65,-1.11,220627.05,11.03,83
15,多头出场,2026-07-15 11:00,离场信号,1.5,1581010,2219738.04,149940.45,6.75,1836.5,152470.08,6.87,-68871.33,-3.10,370567.5,18.53,41
15,多头进场,2026-07-09 10:00,进场,1.404,1581010,2219738.04,149940.45,6.75,1836.5,152470.08,6.87,-68871.33,-3.10,370567.5,18.53,41
16,多头出场,2026-07-24 11:00,离场信号,1.435,1668746,2369619.32,23125.48,0.98,1905.71,87495.69,3.69,-39329,-1.66,393692.97,19.68,42
16,多头进场,2026-07-20 10:00,进场,1.42,1668746,2369619.32,23125.48,0.98,1905.71,87495.69,3.69,-39329,-1.66,393692.97,19.68,42
