2026-07-03 13:03:01 | DEBUG    | urllib3.connectionpool:475 | https://news.futunn.com:443 "GET /news-site-api/main/get-flash-list?pageSize=40 HTTP/1.1" 200 63198
2026-07-03 13:03:01 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): finance.yahoo.com:443
2026-07-03 13:03:02 | DEBUG    | urllib3.connectionpool:475 | https://finance.yahoo.com:443 "GET / HTTP/1.1" 403 3369
2026-07-03 13:03:02 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): query1.finance.yahoo.com:443
2026-07-03 13:03:04 | WARNING  | backpack_quant_trading.core.binance_monitor:143 | 币安行情 curl 兜底失败: Command '['curl', '-fsSL', '--max-time', '15', '-A', 'Mozilla/5.0', '-x', 'http://127.0.0.1:7891', 'https://fapi.binance.com/fapi/v1/klines?symbol=BTCUSDT&interval=1m&limit=2']' returned non-zero exit status 7.
2026-07-03 13:03:04 | DEBUG    | asyncio:631 | Using proactor: IocpProactor
2026-07-03 13:03:04 | DEBUG    | urllib3.connectionpool:475 | https://query1.finance.yahoo.com:443 "GET /v1/finance/search?q=NVIDIA&quotesCount=0&newsCount=50&enableFuzzyQuery=false HTTP/1.1" 403 3369
2026-07-03 13:03:04 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): query2.finance.yahoo.com:443
2026-07-03 13:03:05 | DEBUG    | urllib3.connectionpool:475 | https://query2.finance.yahoo.com:443 "GET /v1/finance/search?q=NVIDIA&quotesCount=0&newsCount=50&enableFuzzyQuery=false HTTP/1.1" 403 3369
2026-07-03 13:03:05 | DEBUG    | urllib3.connectionpool:291 | Resetting dropped connection: query1.finance.yahoo.com
2026-07-03 13:03:06 | WARNING  | backpack_quant_trading.core.binance_monitor:147 | 币安行情 aiohttp 兜底失败: Cannot connect to host 127.0.0.1:7891 ssl:False [远程计算机拒绝网络连接。]
2026-07-03 13:03:06 | DEBUG    | urllib3.connectionpool:1022 | Starting new HTTPS connection (1): fapi.binance.com:443
2026-07-03 13:03:07 | DEBUG    | urllib3.connectionpool:475 | https://query1.finance.yahoo.com:443 "GET /v1/finance/search?q=NVDA&quotesCount=0&newsCount=50&enableFuzzyQuery=false HTTP/1.1" 403 3369
2026-07-03 13:03:07 | DEBUG    | urllib3.connectionpool:291 | Resetting dropped connection: query2.finance.yahoo.com
2026-07-03 13:03:08 | ERROR    | backpack_quant_trading.core.binance_monitor:332 | 获取币安K线失败 futures BTCUSDT 1m: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v1/klines?symbol=BTCUSDT&interval=1m&limit=2 (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x00000276AC8E96D0>: Failed to establish a new connection: [WinError 10061] 由于目标计算机积极拒绝，无法连接。')))
