交易编号,类型,日期和时间,信号,价格 CNY,大小（数量）,大小（价值）,净损益 CNY,回报 %,手续费 CNY,有利波动 CNY,有利波动 %,不利波动 CNY,不利波动 %,累计损益 CNY,累计损益 %,持续时间（K线）
1,多头出场,2025-04-25 13:30,long close,0.802,13139553,9999199.833,537078.7,5.37,1642.97,603619.5,6.04,-250451.44,-2.50,537078.7,5.37,28
1,多头进场,2025-04-07 13:30,long 1,0.761,13139553,9999199.833,537078.7,5.37,1642.97,603619.5,6.04,-250451.44,-2.50,537078.7,5.37,28
2,多头出场,2025-12-03 13:30,long close,0.965,10941054,10503411.84,53020.35,0.50,1684.92,152334.48,1.45,-99309.76,-0.95,590099.06,5.90,15
2,多头进场,2025-11-24 09:30,long 1,0.96,10941054,10503411.84,53020.35,0.50,1684.92,152334.48,1.45,-99309.76,-0.95,590099.06,5.90,15
3,多头出场,2026-04-24 09:30,long close,1.026,10950622,10589251.47,644340.75,6.08,1745.97,754745.75,7.13,-110353.36,-1.04,1234439.8,12.34,45
3,多头进场,2026-03-23 13:30,long 1,0.967,10950622,10589251.47,644340.75,6.08,1745.97,754745.75,7.13,-110353.36,-1.04,1234439.8,12.34,45
4,多头出场,2026-06-23 13:30,long close,1.029,11267343,11233540.97,358728.75,3.19,1826.21,562468.44,5.01,-91037.43,-0.81,1593168.5,15.93,20
4,多头进场,2026-06-08 13:30,long 1,0.997,11267343,11233540.97,358728.75,3.19,1826.21,562468.44,5.01,-91037.43,-0.81,1593168.5,15.93,20
5,多头出场,2026-07-28 13:30,开盘价,0.967,12062685,11592240.29,70515.56,0.61,927.38,252389,2.18,-133616.92,-1.15,1662756.8,16.63,14
5,多头进场,2026-07-17 13:30,long 1,0.961,12062685,11592240.29,70515.56,0.61,927.38,252389,2.18,-133616.92,-1.15,1662756.8,16.63,14
