交易编号,类型,日期和时间,信号,价格 CNY,大小（数量）,大小（价值）,净损益 CNY,净损益 %,有利波动 CNY,有利波动 %,不利波动 CNY,不利波动 %,累计损益 CNY,累计损益 %
1,多头出场,2026-05-19 09:30,离场信号,126.2,5361.3554,500000.0,176603.05,35.3206,309311.05,61.84,-200.0,-0.04,176603.05,35.3206
1,多头进场,2026-05-11 09:30,进场,93.26,5361.3554,500000.0,176603.05,35.3206,309311.05,61.84,-200.0,-0.04,176603.05,35.3206
2,多头出场,2026-06-03 11:30,离场信号,184.05,4309.5735,676603.05,116573.96,17.2293,193143.02,28.53,-26472.85,-3.91,293177.01,58.6354
2,多头进场,2026-05-27 09:30,进场,157.0,4309.5735,676603.05,116573.96,17.2293,193143.02,28.53,-26472.85,-3.91,293177.01,58.6354
3,多头出场,2026-06-15 09:30,离场信号,306.5,3618.6733,793177.01,315946.37,39.833,472317.62,59.52,-317.27,-0.04,609123.38,121.8247
3,多头进场,2026-06-04 09:30,进场,219.19,3618.6733,793177.01,315946.37,39.833,472317.62,59.52,-317.27,-0.04,609123.38,121.8247
4,多头出场,2026-06-16 13:30,离场信号,323.0,3124.6433,1109123.38,-99863.6,-9.0038,30240.35,2.73,-113055.79,-10.19,509259.78,101.852
4,多头进场,2026-06-16 09:30,进场,354.96,3124.6433,1109123.38,-99863.6,-9.0038,30240.35,2.73,-113055.79,-10.19,509259.78,101.852
5,多头出场,2026-06-29 09:30,离场信号,339.0,2594.4981,1009259.78,-130396.36,-12.92,69033.37,6.84,-193777.88,-19.2,378863.42,75.7727
5,多头进场,2026-06-22 09:30,进场,389.0,2594.4981,1009259.78,-130396.36,-12.92,69033.37,6.84,-193777.88,-19.2,378863.42,75.7727
6,多头出场,2026-07-10 11:30,离场信号,309.66,2556.3218,878863.42,-87886.34,-10.0,66617.85,7.58,-99223.68,-11.29,290977.08,58.1954
6,多头进场,2026-07-09 11:30,进场,343.8,2556.3218,878863.42,-87886.34,-10.0,66617.85,7.58,-99223.68,-11.29,290977.08,58.1954
7,多头出场,2026-07-20 09:30,离场信号,213.65,3101.8709,790977.08,-128771.07,-16.28,60114.26,7.6,-152658.58,-19.3,162206.01,32.4412
7,多头进场,2026-07-16 13:30,进场,255.0,3101.8709,790977.08,-128771.07,-16.28,60114.26,7.6,-152658.58,-19.3,162206.01,32.4412
8,多头出场,2026-07-28 13:30,离场信号,275.8,3084.3317,662206.01,187801.62,28.36,240513.22,36.32,-29865.49,-4.51,350007.63,70.0015
8,多头进场,2026-07-22 11:30,进场,214.7,3084.3317,662206.01,187801.62,28.36,240513.22,36.32,-29865.49,-4.51,350007.63,70.0015
