交易编号,类型,日期和时间,信号,价格 CNY,大小（数量）,大小（价值）,净损益 CNY,净损益 %,有利波动 CNY,有利波动 %,不利波动 CNY,不利波动 %,累计损益 CNY,累计损益 %
1,多头出场,2026-03-12 09:30,止损,546.23,3588.2163,2000000.0,-40008.61,-2.0004,17212.85,0.86,-40808.61,-2.04,-40008.61,-2.0004
1,多头进场,2026-03-11 09:30,进场,557.38,3588.2163,2000000.0,-40008.61,-2.0004,17212.85,0.86,-40808.61,-2.04,-40008.61,-2.0004
2,多头出场,2026-04-30 13:30,离场信号,857.5,3608.5637,1959991.39,1134352.01,57.8754,1358273.3,69.27,-15146.08,-0.77,1094343.4,54.7172
2,多头进场,2026-03-13 11:30,进场,543.15,3608.5637,1959991.39,1134352.01,57.8754,1358273.3,69.27,-15146.08,-0.77,1094343.4,54.7172
3,多头出场,2026-05-21 13:30,离场信号,993.34,3534.4132,3094343.4,416530.59,13.461,788244.17,25.46,-20641.67,-0.67,1510873.99,75.5437
3,多头进场,2026-05-08 09:30,进场,875.49,3534.4132,3094343.4,416530.59,13.461,788244.17,25.46,-20641.67,-0.67,1510873.99,75.5437
4,多头出场,2026-06-08 13:30,离场信号,1154.99,3212.1445,3510873.99,199120.84,5.6715,724283.35,20.62,-43065.86,-1.23,1709994.83,85.4997
4,多头进场,2026-05-25 13:30,进场,1093.0,3212.1445,3510873.99,199120.84,5.6715,724283.35,20.62,-43065.86,-1.23,1709994.83,85.4997
5,多头出场,2026-06-24 13:30,开盘价,1312.18,3053.8456,3709994.83,297200.25,8.0108,612094.67,16.49,-16142.46,-0.43,2007195.08,100.3598
5,多头进场,2026-06-15 11:30,进场,1214.86,3053.8456,3709994.83,297200.25,8.0108,612094.67,16.49,-16142.46,-0.43,2007195.08,100.3598
9,多头出场,2026-06-26 14:30,离场信号,1253.89,3053.8456,3709994.83,119191.593768,3.2127,611778.147467,16.49,-15952.977769,-0.43,1829186.423768,91.4593
9,多头进场,2026-06-15 11:30,进场,1214.86,3053.8456,3709994.83,119191.593768,3.2127,611778.147467,16.49,-15952.977769,-0.43,1829186.423768,91.4593
10,多头出场,2026-07-08 12:30,止损,1145.62,3275.608575,3829186.423768,-76583.728475,-2.0,1914.593212,0.05,-78115.403045,-2.04,1752602.695293,87.6301
10,多头进场,2026-07-08 10:30,进场,1169.0,3275.608575,3829186.423768,-76583.728475,-2.0,1914.593212,0.05,-78115.403045,-2.04,1752602.695293,87.6301
11,多头出场,2026-07-16 09:30,止损,1119.94,3283.691543,3752602.695293,-78054.14,-2.08,211646.79,5.64,-76553.09,-2.04,1674548.56,83.7274
11,多头进场,2026-07-14 10:30,进场,1142.8,3283.691543,3752602.695293,-78054.14,-2.08,211646.79,5.64,-76553.09,-2.04,1674548.56,83.7274
