交易编号,类型,日期和时间,信号,价格 USD,大小（数量）,大小（价值）,净损益 USD,回报 %,手续费 USD,有利波动 USD,有利波动 %,不利波动 USD,不利波动 %,累计损益 USD,累计损益 %,持续时间（K线）
1,多头出场,2025-08-05 22:00,long close,23236.25,43,1988900.5,9098.02,0.46,318.98,23705.89,1.19,-29270.11,-1.47,9098.02,0.45,13
1,多头进场,2025-08-01 18:00,long 1,23126.75,43,1988900.5,9098.02,0.46,318.98,23705.89,1.19,-29270.11,-1.47,9098.02,0.45,13
2,多头出场,2025-08-23 02:00,long close,23606.25,42,1970304,12304.74,0.62,316.26,16138.38,0.82,-35500.62,-1.80,21402.76,1.07,17
2,多头进场,2025-08-20 06:00,long 1,23456,42,1970304,12304.74,0.62,316.26,16138.38,0.82,-35500.62,-1.80,21402.76,1.07,17
3,多头出场,2025-09-04 22:00,long close,23414,43,1994275.5,19007.87,0.95,320.63,30714.46,1.54,-2890.04,-0.14,40410.63,2.02,11
3,多头进场,2025-09-03 02:00,long 1,23189.25,43,1994275.5,19007.87,0.95,320.63,30714.46,1.54,-2890.04,-0.14,40410.63,2.02,11
4,多头出场,2025-11-06 07:00,long close,25681,40,2033220,20932.98,1.03,327.02,36897.34,1.81,-1082.66,-0.05,61343.62,3.07,5
4,多头进场,2025-11-05 11:00,long 1,25415.25,40,2033220,20932.98,1.03,327.02,36897.34,1.81,-1082.66,-0.05,61343.62,3.07,5
5,多头出场,2025-11-10 19:00,long close,25529.75,41,2050533,42574.98,2.08,331.52,46001.96,2.24,-24559.04,-1.20,103918.6,5.20,5
5,多头进场,2025-11-07 23:00,long 2,25006.5,41,2050533,42574.98,2.08,331.52,46001.96,2.24,-24559.04,-1.20,103918.6,5.20,5
6,多头出场,2025-11-20 07:00,long close,24968.75,42,2095275,1764.59,0.08,335.41,34965.38,1.67,-47522.62,-2.27,105683.19,5.28,21
6,多头进场,2025-11-14 19:00,long 1,24943.75,42,2095275,1764.59,0.08,335.41,34965.38,1.67,-47522.62,-2.27,105683.19,5.28,21
7,多头出场,2026-01-02 23:00,long close,25635.25,41,2087720,14035.32,0.67,335.18,27999.98,1.34,-1048.52,-0.05,119718.5,5.99,4
7,多头进场,2026-01-02 07:00,long 1,25460,41,2087720,14035.32,0.67,335.18,27999.98,1.34,-1048.52,-0.05,119718.5,5.99,4
8,多头出场,2026-02-03 19:00,long close,25741.75,41,2069167.5,41321.6,2.00,334.4,64942.47,3.14,-329.53,-0.02,161040.11,8.05,7
8,多头进场,2026-02-02 15:00,long 1,25233.75,41,2069167.5,41321.6,2.00,334.4,64942.47,3.14,-329.53,-0.02,161040.11,8.05,7
9,多头出场,2026-02-09 11:00,long close,25228.25,44,2148080,71656.55,3.34,349.45,82284.16,3.83,-15087.85,-0.70,232696.66,11.63,7
9,多头进场,2026-02-06 07:00,long 2,24410,44,2148080,71656.55,3.34,349.45,82284.16,3.83,-15087.85,-0.70,232696.66,11.63,7
10,多头出场,2026-03-24 06:00,long close,24271.5,46,2212117,20505.39,0.93,355.61,65948.03,2.98,-25200.97,-1.14,253202.05,12.66,5
10,多头进场,2026-03-23 10:00,long 1,24044.75,46,2212117,20505.39,0.93,355.61,65948.03,2.98,-25200.97,-1.14,253202.05,12.66,5
11,多头出场,2026-04-01 02:00,long close,23760.25,47,2207449,25659.23,1.16,355.27,36835.9,1.67,-49338.6,-2.23,278861.28,13.94,13
11,多头进场,2026-03-27 22:00,long 1,23483.5,47,2207449,25659.23,1.16,355.27,36835.9,1.67,-49338.6,-2.23,278861.28,13.94,13
12,多头出场,2026-06-12 06:00,long close,29450,38,2239796,-1954.24,-0.09,358.24,28396.82,1.27,-94704.19,-4.23,276907.03,13.85,25
12,多头进场,2026-06-06 02:00,long 1,29471,38,2239796,-1954.24,-0.09,358.24,28396.82,1.27,-94704.19,-4.23,276907.03,13.85,25
13,多头出场,2026-06-25 18:00,long close,29891.5,38,2233545,37848.57,1.69,360.42,66359.31,2.97,-9735.68,-0.44,314755.6,15.74,4
13,多头进场,2026-06-25 02:00,long 1,29388.75,38,2233545,37848.57,1.69,360.42,66359.31,2.97,-9735.68,-0.44,314755.6,15.74,4
14,多头出场,2026-07-10 22:00,long close,29786.25,39,2258821.5,64139.43,2.84,366.57,86652.8,3.84,-2949.71,-0.13,378895.03,18.94,13
14,多头进场,2026-07-08 18:00,long 1,28959.25,39,2258821.5,64139.43,2.84,366.57,86652.8,3.84,-2949.71,-0.13,378895.03,18.94,13
15,多头出场,2026-07-22 14:00,long close,29027.25,41,2375622,4232.03,0.18,380.47,31994.95,1.35,-46335.55,-1.95,383127.06,19.16,19
15,多头进场,2026-07-17 10:00,long 1,28971,41,2375622,4232.03,0.18,380.47,31994.95,1.35,-46335.55,-1.95,383127.06,19.16,19
