交易 #,类型,日期和时间,信号,价格 USDT,仓位大小（数量）,仓位大小（价值）,净损益 USDT,净损益 %,有利波动 USDT,有利波动 %,不利波动 USDT,不利波动 %,累计P&L USDT,累计P&L %
1,多头出场,2026-07-06 00:00,趋出,1774.66,278.7883,499820.0279,-5423.63,-1.08,650.85,0.13,-12457.77,-2.49,-5423.63,-0.54
1,多头进场,2026-07-05 04:00,趋进,1792.83,278.7883,499820.0279,-5423.63,-1.08,650.85,0.13,-12457.77,-2.49,-5423.63,-0.54
2,多头出场,2026-07-13 16:00,趋出,1787.58,276.2393,497109.1947,-3666.07,-0.74,12649.59,2.54,-23968.69,-4.82,-9089.7,-0.91
2,多头进场,2026-07-07 08:00,趋进,1799.56,276.2393,497109.1947,-3666.07,-0.74,12649.59,2.54,-23968.69,-4.82,-9089.7,-0.91
3,多头出场,2026-07-17 08:00,趋出,1864.71,278.0564,495276.8402,22852.75,4.61,45787.2,9.24,-792.8,-0.16,13763.05,1.38
3,多头进场,2026-07-14 16:00,趋进,1781.21,278.0564,495276.8402,22852.75,4.61,45787.2,9.24,-792.8,-0.16,13763.05,1.38
4,多头出场,2026-07-23 12:00,趋出,1920.56,272.0269,506699.0661,15374.43,3.03,25325.55,5.00,-2638.81,-0.52,29137.47,2.91
4,多头进场,2026-07-20 22:00,趋进,1862.68,272.0269,506699.0661,15374.43,3.03,25325.55,5.00,-2638.81,-0.52,29137.47,2.91
5,多头出场,2026-07-29 12:00,趋止损,1891.96,267.8441,514568.74,-7821.44,-1.52,1903.90,0.37,-8336.01,-1.62,21316.03,2.1316
5,多头进场,2026-07-29 08:00,趋进,1921.15,267.8441,514568.74,-7821.44,-1.52,1903.90,0.37,-8336.01,-1.62,21316.03,2.1316
6,多头出场,2026-07-31 16:00,趋止损,1889.10,267.4723,510658.02,-5361.91,-1.05,7251.34,1.42,-6996.01,-1.37,15954.12,1.5954
6,多头进场,2026-07-30 12:00,趋进,1909.20,267.4723,510658.02,-5361.91,-1.05,7251.34,1.42,-6996.01,-1.37,15954.12,1.5954
7,多头出场,2026-08-09 12:00,趋出,1913.28,264.9661,507977.06,-1015.95,-0.20,2285.90,0.45,-3809.83,-0.75,14938.17,1.4938
7,多头进场,2026-08-08 00:00,趋进,1917.14,264.9661,507977.06,-1015.95,-0.20,2285.90,0.45,-3809.83,-0.75,14938.17,1.4938
8,多头出场,2026-08-13 18:00,趋止损,1889.00,267.8573,507469.09,-1471.66,-0.29,405.98,0.08,-3755.27,-0.74,13466.51,1.3467
8,多头进场,2026-08-13 16:00,趋进,1894.55,267.8573,507469.09,-1471.66,-0.29,405.98,0.08,-3755.27,-0.74,13466.51,1.3467
9,多头出场,2026-08-18 08:00,开盘价,1900.77,266.6905,506733.26,202.69,0.04,4763.29,0.94,-2533.67,-0.50,13669.20,1.3669
9,多头进场,2026-08-17 12:00,趋进,1900.08,266.6905,506733.26,202.69,0.04,4763.29,0.94,-2533.67,-0.50,13669.20,1.3669
